REPORTE DE VENTAS
====================================================================================================================================================================================
CODIGO                              CANT. ART. VENDIDOS                 VENTA MAS ANTIGUA                   VENTA MAS RECIENTE                  TOTAL DE VENTAS                     
66409237                            17                                  01/09/2023                          17/10/2023                          31088.88                            
54716824                            25                                  20/10/2023                          14/11/2023                          54935.25                            
50375303                            47                                  10/09/2023                          24/11/2023                          68136.13                            
57263719                            48                                  04/09/2023                          25/11/2023                          60740.49                            
43877279                            25                                  05/10/2023                          10/11/2023                          48369.50                            
35565959                            25                                  15/10/2023                          25/11/2023                          43567.93                            
79140840                            24                                  19/09/2023                          11/11/2023                          25143.63                            
84165595                            18                                  21/09/2023                          12/11/2023                          13655.76                            
77484838                            40                                  17/09/2023                          26/11/2023                          65610.82                            
96659352                            14                                  04/09/2023                          29/10/2023                          26956.19                            
22280452                            14                                  19/09/2023                          24/11/2023                          18630.04                            
45783712                            24                                  12/09/2023                          13/11/2023                          56408.51                            
95751208                            10                                  03/09/2023                          19/11/2023                          18794.08                            
73185299                            37                                  25/09/2023                          21/11/2023                          67530.77                            
77191257                            28                                  03/09/2023                          11/11/2023                          68646.34                            
86241107                            16                                  11/09/2023                          27/10/2023                          28509.04                            
59407188                            26                                  24/09/2023                          23/10/2023                          38243.23                            
78078115                            43                                  01/09/2023                          17/11/2023                          90324.08                            
11602775                            36                                  14/09/2023                          01/11/2023                          80833.94                            
86402303                            9                                   29/09/2023                          24/11/2023                          17548.26                            
76388967                            21                                  16/09/2023                          26/11/2023                          59347.97                            
90237332                            24                                  01/10/2023                          22/11/2023                          7415.51                             
62566305                            16                                  02/09/2023                          08/11/2023                          17000.44                            
89148118                            25                                  09/09/2023                          24/11/2023                          36727.00                            
38913831                            26                                  13/09/2023                          16/11/2023                          54119.87                            
26290971                            20                                  08/09/2023                          01/11/2023                          21866.22                            
54761731                            25                                  19/09/2023                          24/11/2023                          64790.77                            
42928709                            16                                  07/09/2023                          13/11/2023                          13127.71                            
60574154                            11                                  03/09/2023                          26/11/2023                          12547.77                            
64394265                            14                                  03/09/2023                          26/10/2023                          27025.64                            
79372768                            19                                  01/09/2023                          15/11/2023                          38863.57                            
50365593                            24                                  04/09/2023                          13/11/2023                          42404.19                            
15561764                            16                                  04/10/2023                          18/11/2023                          7099.80                             
63437380                            28                                  22/09/2023                          27/11/2023                          39474.64                            
88956889                            28                                  21/09/2023                          24/11/2023                          35849.14                            
58187172                            8                                   17/10/2023                          06/11/2023                          480.88                              
95161027                            37                                  13/10/2023                          17/11/2023                          57306.75                            
36008913                            0                                   11/09/2023                          11/09/2023                          0.00                                
32565207                            24                                  06/09/2023                          23/11/2023                          52632.80                            
55552996                            40                                  05/09/2023                          20/11/2023                          70338.98                            
26233063                            17                                  26/10/2023                          18/11/2023                          13405.23                            
32904023                            21                                  05/09/2023                          13/11/2023                          44700.37                            
67418025                            12                                  10/09/2023                          23/11/2023                          22164.92                            
16151792                            17                                  02/09/2023                          10/11/2023                          35981.63                            
78922174                            27                                  02/09/2023                          24/11/2023                          22673.94                            
24995742                            15                                  10/09/2023                          24/11/2023                          8456.20                             
23928045                            13                                  09/09/2023                          31/10/2023                          149874.42                           
53166028                            6                                   10/10/2023                          18/11/2023                          7770.94                             
90365520                            29                                  05/09/2023                          07/11/2023                          60444.07                            
87813843                            7                                   30/09/2023                          22/11/2023                          16764.28                            
46462527                            20                                  21/09/2023                          25/11/2023                          14260.51                            
17913944                            8                                   08/10/2023                          25/11/2023                          13057.61                            
32821689                            17                                  01/09/2023                          20/09/2023                          21931.61                            
57690875                            14                                  21/09/2023                          21/10/2023                          26692.77                            
79420973                            4                                   12/09/2023                          03/10/2023                          4440.64                             
93845419                            25                                  17/10/2023                          08/11/2023                          51038.94                            
26976877                            29                                  05/09/2023                          24/11/2023                          41445.50                            
17972674                            16                                  02/10/2023                          24/11/2023                          12773.44                            
42798099                            19                                  22/09/2023                          27/11/2023                          13647.87                            
96258632                            14                                  04/09/2023                          27/09/2023                          34235.24                            
15210391                            31                                  09/09/2023                          11/11/2023                          33376.87                            
98140264                            16                                  12/09/2023                          26/11/2023                          26100.82                            
83236386                            21                                  12/09/2023                          31/10/2023                          36635.54                            
71378466                            19                                  24/09/2023                          27/10/2023                          21739.72                            
80048864                            7                                   13/09/2023                          27/11/2023                          15780.42                            
73535476                            22                                  21/09/2023                          31/10/2023                          42266.71                            
77642521                            5                                   09/09/2023                          22/10/2023                          6414.05                             
86828079                            7                                   02/09/2023                          06/11/2023                          19042.29                            
73914283                            7                                   05/10/2023                          06/11/2023                          18133.43                            
69975105                            18                                  05/09/2023                          25/11/2023                          45862.42                            
33713901                            15                                  11/09/2023                          30/10/2023                          34988.25                            
99842319                            9                                   10/09/2023                          30/09/2023                          14381.64                            
49087435                            29                                  05/10/2023                          26/11/2023                          48821.87                            
38637282                            9                                   10/09/2023                          10/10/2023                          7246.98                             
69639726                            9                                   31/10/2023                          06/11/2023                          12307.32                            
43488351                            9                                   20/09/2023                          20/11/2023                          11373.41                            
69324480                            23                                  03/09/2023                          25/11/2023                          23500.03                            
88995291                            1                                   05/10/2023                          24/11/2023                          439.47                              
79901434                            26                                  12/09/2023                          22/11/2023                          195938.71                           
19829266                            8                                   08/09/2023                          27/10/2023                          7750.33                             
44679500                            0                                   04/11/2023                          04/11/2023                          0.00                                
33397650                            10                                  12/09/2023                          21/11/2023                          3177.00                             
59162728                            0                                   07/09/2023                          07/09/2023                          0.00                                
31193794                            6                                   10/09/2023                          15/09/2023                          16296.66                            
29847168                            0                                   21/11/2023                          21/11/2023                          0.00                                
83505958                            16                                  03/09/2023                          20/11/2023                          7481.44                             
98589725                            0                                   22/10/2023                          22/10/2023                          0.00                                
48184351                            7                                   04/10/2023                          27/10/2023                          6923.84                             
85871751                            0                                   24/09/2023                          24/09/2023                          0.00                                
16552775                            9                                   08/10/2023                          26/10/2023                          20666.61                            
28390487                            0                                   19/10/2023                          19/10/2023                          0.00                                
73786035                            6                                   10/10/2023                          07/11/2023                          3374.76                             
36380447                            2                                   15/09/2023                          05/10/2023                          441.64                              
====================================================================================================================================================================================
TOTALES                             1093678326                                                                                                  5158155.26                          
====================================================================================================================================================================================
