          REPORTE DE PRUEBA DE ARTICULOS
====================================================================================================================================================================================
     CODIGOS                             PRECIOS                             DESCUENTOS                          
     BRD-969                             2579.72                             0.00                                
     CIM- 38                             2544.64                             0.00                                
     CNQ-172                             3689.62                             1.22                                
     QFR-958                             1607.46                             0.00                                
     TYF-885                             794.14                              0.00                                
     VVS- 17                             2599.72                             0.00                                
     BXY-119                             2716.11                             0.00                                
     GKG-558                             1674.24                             0.00                                
     UCX-285                             3290.93                             0.00                                
     WZD-331                             1213.79                             0.00                                
     AFL-718                             1664.97                             0.00                                
     JJN-837                             1979.92                             0.00                                
     KDA-627                             1424.46                             0.00                                
     PVZ-181                             309.77                              0.00                                
     ISU-815                             619.89                              0.00                                
     OWN-701                             220.82                              0.00                                
     HFM- 21                             726.91                              0.00                                
     GBJ-693                             314.20                              3.40                                
     FQG-293                             2784.31                             0.00                                
     XBD-314                             1444.90                             0.00                                
     QIL- 29                             2990.55                             0.00                                
     ZWF-661                             2731.61                             0.00                                
     QHC-492                             1907.23                             0.00                                
     XLF-273                             2371.95                             0.00                                
     XOA-735                             2708.07                             0.00                                
     FLW-631                             819.04                              0.00                                
     ZEX- 27                             3843.75                             0.00                                
     QJO- 60                             2704.14                             0.00                                
     GXF-122                             1110.16                             0.00                                
     QFP-254                             180.65                              6.50                                
     DUG-251                             1597.96                             0.00                                
     III-576                             1077.65                             0.00                                
     IHG-413                             317.70                              0.00                                
     QQB-968                             1452.92                             8.30                                
====================================================================================================================================================================================
