                                                                         LISTAS DE REPRODUCCION DE SPOTIFY
                             ARTISTA                             CANCION                      REPRODUCCIONES                            BAILABLE
                         Alicia Keys                               Diary                              284160                               0.663
                         Alicia Keys                     A Woman's Worth                              303333                               0.652
                      Alien Ant Farm                     Smooth Criminal                              209266                               0.653
                          All Saints                         Pure Shores                              268746                               0.631
                        All Time Low            Dear Maria - Count Me In                              182826                               0.459
                          Aloe Blacc                     I Need A Dollar                              243053                                0.84
                                Alok                         Hear Me Now                              192846                               0.788
                         AlunaGeorge                      I'm In Control                              209425                               0.734
                        Amanda Perez                               Angel                              218760                               0.638
                              Amerie                             1 Thing                              238746                               0.636
                       Amy Winehouse                You Know I'm No Good                              256946                               0.705
                       Amy Winehouse                               Rehab                              214946                               0.407
                       Amy Winehouse                       Back To Black                              241293                               0.403
                           Anastacia                  Left Outside Alone                              257426                               0.663
                           Anastacia                      Sick and Tired                              212266                               0.598
                           Anastacia                      I'm Outta Love                              245400                               0.761
                      Angie Martinez                      If I Could Go!                              244466                               0.583
                                Anne                          Ciao Adios                              200104                               0.698
                                Anne                               Alarm                              205593                               0.756
                                Anne                                2002                              186986                               0.697
                            Anuel AA                               China                              301714                               0.786
                            Anuel AA                             Secreto                              258800                               0.807
                      Arctic MonkeysWhy'd You Only Call Me When You're High?                              161123                               0.691
                      Arctic Monkeys                    Do I Wanna Know?                              272394                               0.548
                      Arctic MonkeysI Bet You Look Good On The Dancefloor                              173680                               0.535
                      Arctic Monkeys                          Brianstorm                              172866                                0.42
                      Arctic Monkeys              When The Sun Goes Down                              202133                               0.348
                       Ariana Grande                      God is a woman                              197546                               0.602
                       Ariana Grande                      Love Me Harder                              236133                               0.472
                       Ariana Grande                             Problem                              193920                                0.66
                       Ariana Grande                             7 rings                              178626                               0.778
                       Ariana Grande                        Side To Side                              226160                               0.648
                       Ariana Grande                     Dangerous Woman                              235946                               0.677
                       Ariana Grande                      Love Me Harder                              236133                               0.472
                       Ariana Grande                             The Way                              227026                               0.645
                       Ariana Grande                            Into You                              244453                               0.623
                       Ariana Grandebreak up with your girlfriend - i'm bored                              190440                               0.726
                       Ariana Grande                           boyfriend                              186106                                 0.4
                       Ariana Grande                no tears left to cry                              205920                               0.699
                       Ariana Grande                       One Last Time                              197266                               0.628
                       Ariana Grande                          Break Free                              214840                               0.687
                   Armand Van Helden                            My My My                              190000                               0.678
                    Armin van Buuren          This Is What It Feels Like                              204360                               0.551
             Asaf Avidan & the Mojos            One Day / Reckoning Song                              212360                               0.821
                             Ashanti                          Rain On Me                              297960                               0.606
                             Ashanti                          Rock Wit U                              209120                                0.71
                             Ashanti                             Foolish                              227386                               0.665
                             Ashanti                               Happy                              262226                               0.727
                             Ashanti                              Only U                              186306                               0.601
                             Ashanti                                Baby                              265706                               0.567
                          Asher Roth                      I Love College                              241933                               0.713
                      Ashlee Simpson                        Pieces Of Me                              217440                               0.505
                            Ashley O                           On A Roll                              154447                               0.736
                            Astrid S                       Hurts So Good                              208728                               0.672
                       Atomic Kitten                         Whole Again                              185013                               0.747
                       Atomic Kitten                    The Tide Is High                              206093                               0.783
                       Atomic Kitten                       Eternal Flame                              195506                               0.578
                          Audioslave                        Like a Stone                              293960                               0.614
                             Ava Max                    Sweet but Psycho                              187436                               0.719
                             Ava Max                             So Am I                              183026                               0.682
                               Avant                           Separated                              255600                               0.798
                               Avant                      Read Your Mind                              263506                               0.755
                              Avicii                              Levels                              199906                               0.584
                              Avicii                         Silhouettes                              211880                               0.605
                              Avicii                         Without You                              181672                               0.662
                              Avicii                          The Nights                              176658                               0.527
                              Avicii                         Hey Brother                              255093                               0.545
                              Avicii                    Waiting For Love                              230613                               0.579
                              Avicii                     Lonely Together                              181812                               0.655
                              Avicii                                 SOS                              157202                               0.802
                              Avicii                  I Could Be The One                              208316                               0.509
                              Avicii                          Wake Me Up                              247426                               0.532
                       Avril Lavigne                    When You're Gone                              240493                               0.457
                       Avril Lavigne                         Complicated                              244506                               0.585
                       Avril Lavigne                       Don't Tell Me                              202013                               0.523
                       Avril Lavigne                        I'm with You                              223066                               0.457
                       Avril Lavigne          Here's to Never Growing Up                              214080                               0.483
                       Avril Lavigne                          Girlfriend                              216600                                0.56
                       Avril Lavigne                       What the Hell                              220706                               0.578
                       Avril Lavigne                     My Happy Ending                              242413                               0.414
                       Avril Lavigne                           Sk8er Boi                              204000                               0.487
                       Avril Lavigne                       Nobody's Home                              212413                               0.348
                  Axwell /\ Ingrosso                  More Than You Know                              203000                               0.645
                           Ayo & Teo                               Rolex                              238586                               0.804
                       Azealia Banks                                 212                              204956                               0.847
                             B Young                             Jumanji                              173153                               0.791
                               B.o.B                               Magic                              196133                               0.549
                               B.o.B                      Nothin' on You                              268320                               0.688
                               B.o.B                           Airplanes                              180480                                0.66
                                 B2K                              Uh Huh                              223293                               0.855
                                 B2K                  Bump - Bump - Bump                              282773                               0.835
                               BARNS                       Electric Love                              218173                               0.373
                           BLACKPINK                      Kill This Love                              189052                               0.738
                                 BTS                        Boy With Luv                              229773                               0.645
                              Baauer                        Harlem Shake                              196664                               0.452
                           Baby Bash                           Suga Suga                              239026                               0.662
                           Baby Bash                     Baby - I'm Back                              219920                               0.899
                           Baby Bash                           Suga Suga                              239026                               0.662
                  Baby Boy Da Prince                      The Way I Live                              324906                                0.88
                     Backstreet Boys                   Shape of My Heart                              230093                               0.575
                     Backstreet Boys                          Incomplete                              239586                               0.437
                     Backstreet Boys Show Me the Meaning of Being Lonely                              234960                                0.63
                           Bad Bunny                            Callaita                              250533                                0.61
                           Bad Bunny                                 MIA                              210367                               0.817
                      Bad Meets Evil                            Lighters                              303813                               0.676
                            Baha Men                Who Let The Dogs Out                              198400                               0.869
                         Banx & Ranx                         Answerphone                              190920                               0.671
                       Basement Jaxx                               Romeo                              217493                               0.713
                       Basement Jaxx                           Good Luck                              282306                               0.571
                          Basshunter                     Now You're Gone                              148186                               0.639
                          Basshunter                   All I Ever Wanted                              176453                               0.645
                            Bastille                          Good Grief                              206493                                0.73
                            Bastille                        Of The Night                              214205                                0.67
                            Bastille                             Pompeii                              214147                               0.679
                               Bazzi                                Mine                              131064                                0.71
                             Becky G                              Shower                              206166                               0.699
                             Becky G                          Sin Pijama                              188560                               0.791
                       Benny Benassi                        Satisfaction                              285570                               0.793
                             Beyonce                        Sweet Dreams                              208066                               0.694
                             Beyonce                       Drunk in Love                              323480                               0.589
                             Beyonce                             Deja Vu                              240280                               0.644
                             Beyonce                     If I Were a Boy                              249146                               0.632
                             Beyonce                       Crazy In Love                              236133                               0.646
                             Beyonce                                  11                              213506                               0.747
                             Beyonce                         Check On It                              211186                                 0.7
                             Beyonce                               Sorry                              232560                               0.775
                             Beyonce                   Me - Myself and I                              301133                                0.75
                             Beyonce                       Single Ladies                              193213                               0.426
                             Beyonce                       Irreplaceable                              227853                               0.447
                             Beyonce                        Naughty Girl                              208600                               0.735
                             Beyonce                            Baby Boy                              244826                               0.655
                             Beyonce              Best Thing I Never Had                              253746                               0.545
                             Beyonce                      Beautiful Liar                              199853                               0.764
                             Beyonce                                Halo                              261640                               0.508
                          Big Brovaz                             Nu Flow                              201480                               0.783
                            Big Sean               I Don't Fuck With You                              284386                               0.824
                            Big Sean                         Bounce Back                              222360                                0.78
                            Big Shaq                       Man's Not Hot                              186026                               0.905
                          Big Tymers                           Still Fly                              335613                               0.675
                       Billie Eilish                              lovely                              200185                               0.351
                       Billie Eilish                              lovely                              200185                               0.351
                       Billie Eilish                               Bored                              180933                               0.614
                       Billie Eilish                             bad guy                              194087                               0.701
                       Billie Eilish                       bury a friend                              193143                               0.905
                       Bingo Players                              Get Up                              166933                               0.801
                               Birdy                       Let It All Go                              280757                               0.383
                               Birdy                               Wings                              252106                               0.474
                     Black Eyed Peas                            My Humps                              326960                               0.802
                     Black Eyed Peas                             Pump It                              213066                               0.648
                     Black Eyed Peas                  Where Is The Love?                              272533                               0.835
                     Black Eyed Peas                Let's Get It Started                              217733                               0.785
                     Black Eyed Peas                Just Cant Get Enough                              219426                               0.659
                     Black Eyed Peas                     I Gotta Feeling                              289133                               0.743
                     Black Eyed Peas                             Imma Be                              257560                               0.597
                     Black Eyed Peas                           Don't Lie                              219000                               0.662
                     Black Eyed Peas                            The Time                              307640                               0.816
                     Black Eyed Peas                     Meet Me Halfway                              284373                               0.798
                     Black Eyed Peas           Don't Phunk With My Heart                              239773                                0.69
                     Black Eyed Peas                            Hey Mama                              214893                                0.86
                     Black Eyed Peas                       Boom Boom Pow                              251440                               0.867
                     Black Eyed Peas                             Shut Up                              296186                                0.81
                       Blake Shelton             Sure Be Cool If You Did                              215720                               0.576
                       Blake Shelton                           Honey Bee                              210720                               0.481
                        Blanco Brown                          The Git Up                              200593                               0.847
                       Blazin' Squad                          Crossroads                              188693                               0.661
                          BlocBoy JB                          Look Alive                              181263                               0.922
                        Blu Cantrell                    Hit 'Em Up Style                              250706                               0.667
                                Blue  Sorry Seems To Be The Hardest Word                              210066                               0.564
                                Blue                    If You Come Back                              207560                               0.582
                                Blue                     U Make Me Wanna                              222400                                 0.6
                                Blue                            One Love                              207186                               0.683
                                Blue                            All Rise                              223546                               0.721
                            Blueface                            Thotiana                              129264                               0.906
                         Bob Sinclar                     Love Generation                              207613                               0.715
                         Bob Sinclar                     Rock This Party                              245466                               0.893
                       Bobby Shmurda                           Hot N*gga                              194561                               0.794
                            Bobby V.                           Slow Down                              258666                               0.568
                         Bodyrockers                      I Like The Way                              200053                               0.642
                        Bomfunk MC's                          Freestyler                              306333                               0.822
                            Bon Jovi                        It's My Life                              224493                               0.551
                          Bone Thugs                             I Tried                              287480                               0.727
                             Bow Wow                     Let Me Hold You                              248493                               0.815
                             Bow Wow                     Outta My System                              238266                               0.772
                             Bow Wow                      Bounce With Me                              175893                               0.852
                             Bow Wow                            Like You                              205840                               0.714
                     Boys Like Girls                          Love Drunk                              226706                                0.44
                     Boys Like Girls                    The Great Escape                              206520                               0.423
                              Brandy                           Full Moon                              248933                               0.611
                              Brandy                      What About Us?                              253200                               0.686
                              Brandy             Another Day in Paradise                              271626                                 0.7
                      Brian McFadden                         Almost Here                              229826                               0.561
                     Bridgit Mendler                        Ready or Not                              200946                               0.715
                      Britney Spears                          Gimme More                              251240                               0.788
                      Britney Spears                Me Against the Music                              223773                               0.804
                      Britney Spears                           Everytime                              230306                               0.398
                      Britney Spears              Born to Make You Happy                              243533                               0.633
                      Britney Spears                       Overprotected                              198600                               0.682
                      Britney Spears                              Circus                              192360                               0.791
                      Britney Spears                               Lucky                              206226                               0.765
                      Britney Spears                       If U Seek Amy                              216520                               0.717
                      Britney Spears                      My Prerogative                              213893                               0.749
                      Britney Spears                       Break the Ice                              196053                               0.712
                      Britney Spears              Oops!...I Did It Again                              211160                               0.751
                      Britney Spears                               Toxic                              198800                               0.774
                      Britney Spears                           Womanizer                              224400                               0.724
                      Britney Spears                         Piece of Me                              212106                               0.769
                      Britney Spears    I'm Not a Girl - Not Yet a Woman                              231066                               0.534
                      Britney Spears                          I Wanna Go                              210266                               0.696
                      Britney Spears                          Work B**ch                              247853                                0.63
                      Britney Spears                 Till the World Ends                              237946                               0.693
                      Britney Spears                     I'm a Slave 4 U                              203600                               0.847
                          Bruno Mars                Just the Way You Are                              220734                               0.635
                          Bruno Mars                 When I Was Your Man                              213826                               0.612
                          Bruno Mars                           Marry You                              230192                               0.621
                          Bruno Mars                       The Lazy Song                              189109                               0.794
                          Bruno Mars                Locked out of Heaven                              233478                               0.726
                          Bruno Mars                 Talking to the Moon                              217866                               0.498
                          Bruno Mars                        It Will Rain                              257720                               0.576
                          Bruno Mars                             Grenade                              222091                               0.704
                          Bruno Mars                            Treasure                              178560                               0.874
                          Bruno Mars                           24K Magic                              225983                               0.818
