CODIGO                   CANTIDAD                 PRECIO                   INGRESO BRUTO            TIENE DESCUENTO          DESCUENTO                INGRESO TOTAL            
15823                    102                      36.90                    3763.80                  0                        18.31                    3763.62                  
15760                    42                       34.50                    1449.00                  0                        6.30                     1448.94                  
15756                    58                       50.90                    2952.20                  0                        5.74                     2952.14                  
15745                    93                       48.90                    4547.70                  1                        14.48                    4547.56                  
15724                    165                      31.50                    5197.50                  0                        7.45                     5197.43                  
15665                    84                       50.90                    4275.60                  1                        18.94                    4275.41                  
15621                    90                       33.50                    3015.00                  1                        13.94                    3014.86                  
15611                    40                       46.90                    1876.00                  0                        5.74                     1875.94                  
15608                    67                       27.90                    1869.30                  0                        18.60                    1869.11                  
15592                    15                       33.90                    508.50                   0                        16.73                    508.33                   
15578                    72                       33.50                    2412.00                  0                        5.74                     2411.94                  
15539                    4                        21.90                    87.60                    1                        13.99                    87.46                    
15525                    66                       58.50                    3861.00                  1                        18.60                    3860.81                  
15510                    19                       35.90                    682.10                   1                        14.80                    681.95                   
15488                    13                       16.90                    219.70                   1                        16.67                    219.53                   
15479                    106                      51.90                    5501.40                  0                        14.83                    5501.25                  
15419                    72                       37.90                    2728.80                  0                        19.42                    2728.61                  
15404                    27                       17.90                    483.30                   0                        17.39                    483.13                   
15392                    38                       18.90                    718.20                   0                        9.46                     718.11                   
15378                    57                       33.50                    1909.50                  0                        13.99                    1909.36                  
15365                    105                      44.90                    4714.50                  1                        5.28                     4714.45                  
15326                    16                       36.90                    590.40                   1                        18.31                    590.22                   
15319                    104                      47.90                    4981.60                  0                        17.39                    4981.43                  
15297                    73                       51.90                    3788.70                  0                        13.52                    3788.56                  
15283                    73                       33.50                    2445.50                  0                        7.19                     2445.43                  
15272                    16                       59.90                    958.40                   1                        7.45                     958.33                   
15197                    129                      47.50                    6127.50                  1                        11.82                    6127.38                  
15153                    60                       18.90                    1134.00                  1                        19.04                    1133.81                  
15142                    63                       52.90                    3332.70                  1                        7.47                     3332.63                  
15136                    128                      60.50                    7744.00                  1                        5.45                     7743.95                  
15116                    163                      49.90                    8133.70                  1                        9.18                     8133.61                  
11871                    83                       54.90                    4556.70                  1                        11.86                    4556.58                  
11850                    76                       53.90                    4096.40                  0                        7.19                     4096.33                  
11751                    95                       8.90                     845.50                   0                        17.39                    845.33                   
11731                    47                       8.90                     418.30                   0                        6.30                     418.24                   
11692                    58                       89.90                    5214.20                  1                        17.36                    5214.03                  
11621                    20                       15.90                    318.00                   1                        11.30                    317.89                   
11620                    51                       15.90                    810.90                   0                        10.91                    810.79                   
11611                    74                       15.90                    1176.60                  1                        15.19                    1176.45                  
11500                    17                       128.90                   2191.30                  0                        17.39                    2191.13                  
11471                    120                      8.90                     1068.00                  0                        6.30                     1067.94                  
11283                    22                       14.90                    327.80                   1                        17.72                    327.62                   
11172                    39                       15.90                    620.10                   1                        5.53                     620.04                   
11171                    55                       15.90                    874.50                   1                        19.42                    874.31                   
====================================================================================================================================================================================
